_id,sno,taxiNumber,taxiType,tmdtid,taxiFeature.taxiMakeModel,taxiFeature.taxiPassengerCapacity,taxiFeature.taxiColor,registeredDrivers[0].driverID,registeredDrivers[0].driverName,registeredDrivers[0].driverPhone
64ace7bffc13ae4202beecce,1,JH4CL96,Plus,3392,Kia,3,Crimson,1,,
64ace7bffc13ae4202beeccf,2,4T1BF1F,Regular,2822,Ford,5,Pink,2,,
64ace7bffc13ae4202beecd0,3,1G6DD1E,Regular,9247,Chevrolet,3,Goldenrod,3,,
64ace7bffc13ae4202beecd1,4,1D7RB1C,Regular,6760,Mercedes-Benz,2,Purple,4,,
64ace7bffc13ae4202beecd2,5,WVGAV7A,Plus,9018,Mitsubishi,7,Violet,5,,
64ace7bffc13ae4202beecd3,6,WA1WKAF,Plus,4121,Volkswagen,4,Puce,6,,
64ace7bffc13ae4202beecd4,7,JN1CV6E,Plus,1890,Pontiac,5,Maroon,7,,
64ace7bffc13ae4202beecd5,8,SCFFDAA,Regular,6999,Ford,7,Teal,8,,
64ace7bffc13ae4202beecd6,9,WVGFF9B,Plus,7938,Acura,7,Yellow,9,,
64ace7bffc13ae4202beecd7,10,WAUSGAF,Regular,7781,Lotus,4,Orange,10,,
64ace7bffc13ae4202beecd8,11,1G4GF5G,Plus,9753,Toyota,5,Crimson,11,,
64ace7bffc13ae4202beecd9,12,JN8AF5M,Plus,5352,Mazda,8,Indigo,12,,
64ace7bffc13ae4202beecda,13,3C63D3D,Plus,1375,Chevrolet,1,Maroon,13,,
64ace7bffc13ae4202beecdb,14,WAUJT64,Regular,2604,Mitsubishi,4,Yellow,14,,
64ace7bffc13ae4202beecdc,15,1FTEX1C,Plus,5156,Toyota,8,Purple,15,,
64ace7bffc13ae4202beecdd,16,3LNHL2G,Regular,491,Saturn,3,Crimson,16,,
64ace7bffc13ae4202beecde,17,WBAFR9C,Regular,398,Suzuki,6,Red,17,,
64ace7bffc13ae4202beecdf,18,TRUWC28,Regular,8044,Volkswagen,7,Fuscia,18,,
64ace7bffc13ae4202beece0,19,5GADX23,Regular,3742,Lotus,5,Puce,19,,
64ace7bffc13ae4202beece1,20,1G6AH5S,Regular,3889,Chrysler,2,Maroon,20,,
64ace7bffc13ae4202beece2,21,SCBDR3Z,Regular,684,Pontiac,5,Pink,21,,
64ace7bffc13ae4202beece3,22,4JGBB2F,Plus,1043,Audi,6,Goldenrod,22,,
64ace7bffc13ae4202beece4,23,KNAFT4A,Regular,2680,Ford,2,Violet,23,,
64ace7bffc13ae4202beece5,24,KMHHT6K,Plus,3936,Mazda,6,Green,24,,
64ace7bffc13ae4202beece6,25,1C4RDJA,Regular,458,Ford,2,Indigo,25,,
64ace7bffc13ae4202beece7,26,SAJWA4E,Regular,4033,Nissan,2,Red,26,,
64ace7bffc13ae4202beece8,27,WBAWB3C,Plus,676,Suzuki,6,Fuscia,27,,
